Unit,Primary_Emotion,Polarity,Mood,Personality
驚嚇,3,N,,
TMD,4,N,,
PUMA,4,N,,
LP,4,N,,
GY,4,N,,
GGYY,4,N,,
e04,4,N,,
ㄏㄏ,1,P,,
鬱鬱寡歡,2,N,,
鬱鬱不樂,2,N,,
鬱結,2,N,,
鬱悶,2,N,,
鬱悒,2,N,,
鬱卒,2,N,,
鬱,2,N,,
驢,4,N,,
讚譽,1,P,,
讚賞,1,P,,
讚歎,1,P,,
讚嘆,1,P,,
讚揚,1,P,,
讚美,1,P,,
讚佩,1,P,,
讚不絕口,1,P,,
讚,1,P,,
矚望,,P,,
齷齪,,N,,
靈感,,P,,
靈敏,,P,,
靈活,,P,,
靈巧,,P,,
艷羨,4,P,,
體諒,,P,,
體會,,P,,
體貼,,P,,
體惜,,P,,
體面,,P,,
體恤,,P,,
驚懼,3,N,,
驚擾,,N,,
驚駭,3,N,,
驚險,3,N,,
驚歎,5,N,,
驚魂未定,3,N,,
驚疑,5,N,,
驚嘆,5,P,,
驚詫,5,N,,
驚羨,5,P,,
驚慌失措,3,N,,
驚慌,3,N,,
驚愕,5,0,,
驚惶失措,3,N,,
驚惶,3,N,,
驚喜萬分,5,P,,
驚喜交集,5,P,,
驚喜,5,P,,
驚訝,5,0,,
驚異,5,0,,
驚悚,3,N,,
驚恐萬狀,3,N,,
驚恐,3,N,,
驚怕,3,N,,
驚奇,5,P,,
驚呆,5,0,,
驚心掉膽,3,N,,
驚心動魄,5,N,,
驚心,5,0,,
驚弓之鳥,5,N,,
驚人,5,0,,
驚,5,0,,
變質,,N,,
變動,,0,,
變味,,N,,
變色,,N,,
攪亂,,N,,
戀戀不捨,1,P,,
戀愛,1,P,,
戀情,1,P,,
戀家,1,P,,
戀春,1,P,,
戀人,1,P,,
戀,1,P,,
髒,,N,,
驕傲,1,P,,
顫抖,3,N,,
竊笑,1,P,,
灑淚,2,N,,
歡歡喜喜,1,P,,
歡躍,1,P,,
歡騰,1,P,,
歡顏,1,P,,
歡聲,1,P,,
歡樂,1,P,,
歡聚,1,P,,
歡暢,1,P,,
歡愉,1,P,,
歡喜,1,P,,
歡送,1,P,,
歡笑,1,P,,
歡悅,1,P,,
歡娛,1,P,,
歡眉喜眼,1,P,,
歡迎,1,P,,
歡欣鼓舞,1,P,,
歡欣,1,P,,
歡呼雀躍,1,P,,
歡呼,1,P,,
歡快,1,P,,
歡心,1,P,,
歡天喜地,1,P,,
歡,1,P,,
黯然銷魂,2,N,,
黯然神傷,2,N,,
黯然,2,N,,
顧慮重重,3,N,,
顧慮,3,N,,
顧盼自雄,,P,,
顧念,,0,,
躊躇滿志,,P,,
躊躇,,N,,
護,,P,,
譴責,4,N,,
蠢,,N,,
纏綿悱惻,,P,,
纏綿,,P,,
纏訟,,N,,
纏身,,N,,
纍纍,,P,,
爛貨,4,N,,
爛,4,N,,
懾,3,N,,
懼怕,3,N,,
懼,3,N,,
騷擾,4,N,,
騷貨,4,N,,
騷動,,N,,
騷,,N,,
